orderID,order_date,ship_date,ship_mode,customer_id,customer_name,Segment,Country,City,State,Region,Product_id,Category,sub_category,product_name,Sales
152156,11/8/2017,11/11/2017,Second Class,12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
152156,11/8/2017,11/11/2017,Second Class,12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
138688,6/12/2017,6/16/2017,Second Class,13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
108966,10/11/2016,10/18/2016,Standard Class,20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
108966,10/11/2016,10/18/2016,Standard Class,20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368
115812,6/9/2015,6/14/2015,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
115812,6/9/2015,6/14/2015,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,10002833,Office Supplies,Art,Newell 322,7.28
115812,6/9/2015,6/14/2015,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152
115812,6/9/2015,6/14/2015,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
115812,6/9/2015,6/14/2015,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
115812,6/9/2015,6/14/2015,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184
115812,6/9/2015,6/14/2015,Standard Class,11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424
114412,4/15/2018,4/20/2018,Standard Class,10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,10002365,Office Supplies,Paper,Xerox 1967,15.552
161389,12/5/2017,12/10/2017,Standard Class,15070,Irene Maddox,Consumer,United States,Seattle,Washington,West,10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976
118983,11/22/2016,11/26/2016,Standard Class,14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
118983,11/22/2016,11/26/2016,Standard Class,14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
105893,11/11/2015,11/18/2015,Standard Class,19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
167164,5/13/2015,5/15/2015,Second Class,10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
143336,8/27/2015,9/1/2015,Second Class,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,10003056,Office Supplies,Art,Newell 341,8.56
143336,8/27/2015,9/1/2015,Second Class,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48
143336,8/27/2015,9/1/2015,Second Class,21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
137330,12/9/2017,12/13/2017,Standard Class,16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,10000246,Office Supplies,Art,Newell 318,19.46
137330,12/9/2017,12/13/2017,Standard Class,16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
156909,7/16/2018,7/18/2018,Second Class,20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
106320,9/25/2016,9/30/2016,Standard Class,13870,Emily Burns,Consumer,United States,Orem,Utah,West,10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
121755,1/16/2017,1/20/2017,Second Class,13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
121755,1/16/2017,1/20/2017,Second Class,13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
150630,9/17/2016,9/21/2016,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
150630,9/17/2016,9/21/2016,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
150630,9/17/2016,9/21/2016,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
150630,9/17/2016,9/21/2016,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
150630,9/17/2016,9/21/2016,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
150630,9/17/2016,9/21/2016,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
150630,9/17/2016,9/21/2016,Standard Class,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,10001683,Office Supplies,Art,Lumber Crayons,15.76
107727,10/19/2018,10/23/2018,Second Class,17560,Matt Abelman,Home Office,United States,Houston,Texas,Central,10000249,Office Supplies,Paper,Easy-staple paper,29.472
117590,12/8/2017,12/10/2017,First Class,14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,10004977,Technology,Phones,GE 30524EE4,1097.544
117590,12/8/2017,12/10/2017,First Class,14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
117415,12/27/2016,12/31/2016,Standard Class,20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
117415,12/27/2016,12/31/2016,Standard Class,20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
117415,12/27/2016,12/31/2016,Standard Class,20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
117415,12/27/2016,12/31/2016,Standard Class,20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
120999,9/10/2018,9/15/2018,Standard Class,16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,10004093,Technology,Phones,Panasonic Kx-TS550,147.168
